,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
102,2018-11-24,Hertha BSC,TSG 1899 Hoffenheim,3,3,1,1,2,2,23,13,8.0,6.0,9,13,8,5,1,2,0,0,3.4,3.75,2.04,3.4,3.6,2.1,18/19,2390,2525
103,2018-11-24,1. FSV Mainz 05,Borussia Dortmund,1,2,2,0,0,1,15,11,7.0,7.0,9,11,6,5,2,1,0,0,5.5,4.0,1.6,5.75,4.1,1.57,18/19,2349,2610
104,2018-11-24,FC Schalke 04,1. FC Nürnberg,5,2,0,2,1,0,20,12,10.0,6.0,7,12,7,2,1,2,0,1,1.53,4.0,7.0,1.5,4.0,7.25,18/19,2461,2196
105,2018-11-24,VfL Wolfsburg,RBLeipzig,1,0,0,0,0,1,5,10,3.0,4.0,10,13,2,9,1,2,0,0,3.5,3.5,2.1,3.5,3.5,2.1,18/19,2471,2638
106,2018-11-25,SC Freiburg,Werder Bremen,1,1,1,1,0,0,23,19,9.0,8.0,6,10,6,3,0,2,0,0,2.87,3.3,2.5,2.75,3.5,2.5,18/19,2414,2492
107,2018-11-25,Borussia Mönchengladbach,Hannover 96,4,1,0,2,1,0,20,5,6.0,3.0,8,10,5,5,1,1,0,0,1.44,4.5,7.0,1.48,4.4,7.0,18/19,2534,2211
108,2018-11-30,Fortuna Düsseldorf,1. FSV Mainz 05,0,1,2,0,0,1,20,15,7.0,3.0,8,7,12,5,1,1,0,0,2.7,3.3,2.6,2.65,3.3,2.7,18/19,2380,2349
109,2018-12-01,Borussia Dortmund,SC Freiburg,2,0,0,1,0,0,11,5,4.0,1.0,6,11,2,3,1,1,0,0,1.28,5.5,11.0,1.28,5.5,11.0,18/19,2610,2414
110,2018-12-01,Hannover 96,Hertha BSC,0,2,2,0,1,2,10,14,2.0,8.0,9,14,3,6,2,3,0,0,2.7,3.4,2.6,2.65,3.4,2.65,18/19,2211,2390
111,2018-12-01,TSG 1899 Hoffenheim,FC Schalke 04,1,1,1,0,0,1,20,13,7.0,5.0,11,13,4,10,3,3,0,0,1.8,3.8,4.33,1.85,3.8,4.1,18/19,2525,2461
112,2018-12-01,VfB Stuttgart,FC Augsburg,1,0,0,1,0,0,13,17,3.0,4.0,11,10,3,8,4,2,0,0,2.6,3.3,2.75,2.6,3.4,2.7,18/19,2333,2335
113,2018-12-01,Werder Bremen,Bayern München,1,2,2,1,1,1,9,16,3.0,5.0,13,8,3,10,3,2,1,0,7.0,5.25,1.4,7.25,5.0,1.4,18/19,2492,2726
114,2018-12-02,Eintracht Frankfurt,VfL Wolfsburg,1,2,2,0,1,2,13,10,2.0,3.0,10,9,9,3,3,7,0,0,1.8,4.0,4.1,1.85,3.7,4.2,18/19,2531,2471
115,2018-12-02,RBLeipzig,Borussia Mönchengladbach,2,0,0,2,0,0,14,7,6.0,4.0,9,9,5,4,2,2,0,0,1.9,3.75,3.75,1.9,3.9,3.75,18/19,2638,2534
116,2018-12-03,1. FC Nürnberg,Bayer Leverkusen,1,1,1,0,1,2,11,20,4.0,6.0,14,10,3,6,3,2,0,0,4.2,4.0,1.8,4.33,3.9,1.78,18/19,2196,2555
117,2018-12-07,Werder Bremen,Fortuna Düsseldorf,3,1,0,1,1,1,22,12,9.0,3.0,13,18,6,4,3,4,0,0,1.72,4.0,4.5,1.7,4.0,4.75,18/19,2492,2380
118,2018-12-08,Bayern München,1. FC Nürnberg,3,0,0,2,0,0,20,4,8.0,1.0,9,6,11,1,1,0,0,0,1.08,11.0,34.0,1.09,10.5,29.0,18/19,2726,2196
119,2018-12-08,SC Freiburg,RBLeipzig,3,0,0,2,0,0,12,15,9.0,4.0,9,16,3,12,1,2,0,0,4.0,4.0,1.83,4.2,3.9,1.8,18/19,2414,2638
120,2018-12-08,Hertha BSC,Eintracht Frankfurt,1,0,0,1,0,0,7,18,4.0,4.0,15,14,5,9,1,0,0,0,2.45,3.3,2.9,2.6,3.6,2.6,18/19,2390,2531
