,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season
145,2018-12-22,11,0,0,3,2,0,1,2,10,9,3.0,7.0,9,4,3,4,2,1,0,0,5.75,4.75,1.5,6.0,4.6,1.5,18/19
146,2018-12-22,9,1,0,1,2,0,0,1,17,13,3.0,6.0,14,19,4,6,2,3,0,0,2.2,3.4,3.3,2.2,3.4,3.3,18/19
147,2018-12-22,13,3,3,1,0,2,1,0,15,13,7.0,8.0,3,12,4,5,0,1,0,0,1.72,4.0,4.5,1.7,4.1,4.6,18/19
148,2018-12-22,14,2,0,1,2,0,1,2,16,7,3.0,3.0,16,16,12,3,2,3,0,0,2.62,3.3,2.7,2.6,3.4,2.7,18/19
149,2018-12-22,16,5,3,2,0,2,0,0,11,15,5.0,6.0,15,9,4,4,2,0,0,0,1.44,4.5,7.0,1.5,4.4,6.25,18/19
150,2018-12-22,15,17,1,3,2,0,1,2,17,15,5.0,6.0,9,17,2,5,3,5,0,0,3.2,3.3,2.3,3.1,3.25,2.4,18/19
151,2018-12-23,10,6,2,3,2,0,2,2,10,16,4.0,5.0,12,11,3,4,2,3,0,0,2.6,3.3,2.75,2.55,3.4,2.75,18/19
152,2018-12-23,12,8,1,1,1,1,1,1,28,12,7.0,5.0,11,10,9,2,1,0,0,0,1.44,4.5,6.5,1.45,4.75,6.5,18/19
153,2019-01-18,12,0,1,3,2,0,2,2,13,21,5.0,9.0,13,9,2,6,3,2,0,0,6.0,5.0,1.44,6.25,4.75,1.48,18/19
154,2019-01-19,10,1,1,2,2,0,1,2,13,11,6.0,3.0,13,9,5,3,3,1,0,0,1.9,3.6,4.0,1.85,3.6,4.33,18/19
155,2019-01-19,11,2,3,1,0,3,0,0,9,21,4.0,7.0,13,8,5,5,2,1,0,0,1.65,4.0,5.25,1.65,3.9,5.25,18/19
156,2019-01-19,9,5,0,1,2,0,1,2,10,23,1.0,13.0,17,19,7,8,3,1,0,0,3.25,3.6,2.15,3.1,3.6,2.2,18/19
